Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
54303480,Sinopticon 2021: A Celebration of Chinese Science Fiction,Xueting Christine Ni,"Ni, Xueting Christine",,"=""1781088527""","=""9781781088524""",5,4.04,Solaris,Paperback,448,2021,2021,,2022/01/01,favorites,favorites (#5),read,I love chinese science fiction! There are three stories in here that are better than any sci-fi I've read before.,,,1,,,0,,,,,
11179877,Che: The Diaries of Ernesto Che Guevara,Ernesto Che Guevara,"Guevara, Ernesto Che",,"=""""","=""""",4,3.73,,,,,1970,,2022/01/01,,,read,,,,1,,,0,,,,,
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""""","=""""",5,3.87,Signet Book,Mass Market Paperback,704,1996,1943,,2021/10/30,favorites,favorites (#7),read,"This is still my favorite book, I think I've read it three times now. I brought it to the hospital to read while I was recovering from brain surgery. <br/><br/>So what if it's an unrealistic fairy tale? It's meant to be read that way.",,,1,,,0,,,,,
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",จารุจรรย์ คงมีสุข,"=""1443442313""","=""9781443442312""",5,4.06,Collins,Hardcover,277,2016,2016,,2021/10/30,favorites,favorites (#6),read,,,,1,,,0,,,,,
378,The Phantom Tollbooth,Norton Juster,"Juster, Norton",Jules Feiffer,"=""0394820371""","=""9780394820378""",5,4.16,Random House Bullseye Books,Paperback,248,1996,1961,,2022/01/01,favorites,favorites (#4),read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",5,4.31,"Harcourt, Inc.",Paperback,96,2000,1943,,2022/01/01,favorites,favorites (#3),read,,,,1,,,0,,,,,
38491254,17776: What football will look like in the future,Jon Bois,"Bois, Jon",Graham MacAree,"=""""","=""""",5,4.66,,,,2017,2017,,2022/01/01,favorites,favorites (#2),read,THE FUTURE OF MULTI-MEDIA STORYTELLING...,,,1,,,0,,,,,
130730,"Universal Principles of Design: 100 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach Through Design",William Lidwell,"Lidwell, William","Jill Butler, Kritina Holden","=""1592530079""","=""9781592530076""",5,4.15,Rockport Publishers,Hardcover,216,2003,2003,,2022/01/01,favorites,favorites (#1),read,MY FAVORITE BOOK,,,1,,,0,,,,,
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0375822747""","=""9780375822742""",5,3.87,Random House Children's Books,Paperback,288,2003,2003,,2022/01/01,,,read,Actually I changed my mind this one is better than a canticle for leibowitz,,,1,,,0,,,,,
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",5,4.22,Viking,Hardcover,576,2018,2018,,2022/01/01,,,read,I remember being really interested in this the first time I read it.<br/>,,,1,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",3,4.24,Avon,Mass Market Paperback,1152,2002,1999,,2022/01/01,,,read,This isn't a masterpiece... better than reamde though,,,1,,,0,,,,,
363531,Industrial Design: Materials and Manufacturing,Jim Lesko,"Lesko, Jim",,"=""0471297690""","=""9780471297697""",4,3.28,Wiley,Paperback,224,1998,1998,,2022/01/01,,,read,,,,1,,,0,,,,,
857356,Sundials: Their Theory and Construction,Albert Waugh,"Waugh, Albert",,"=""0486229475""","=""9780486229478""",4,3.92,Dover Publications,Paperback,256,1973,1973,,2022/01/01,,,read,The first thirty pages of this is a fascinating look at sundials and how the concept of place is tied to time. The first three sundials presented are also really interesting. When they start building weird obscure sundials is when the author gets a little off track.,,,1,,,0,,,,,
